Timestamp,PointId,PredictedValue,Status,ForecastTime
2026-05-08 12:21:30,P1,44.34428024291992,OK,2026-05-08 12:25:00
2026-05-08 12:21:30,P2,44.08386993408203,OK,2026-05-08 12:25:00
2026-05-08 12:21:30,P3,46.188663482666016,OK,2026-05-08 12:25:00
2026-05-08 12:21:30,P4,45.41808319091797,OK,2026-05-08 12:25:00
2026-05-08 12:21:30,P5,41.35083770751953,OK,2026-05-08 12:25:00
2026-05-08 12:21:30,P6,44.53171920776367,OK,2026-05-08 12:25:00
2026-05-08 12:32:17,P1,44.43167495727539,OK,2026-05-08 12:36:00
2026-05-08 12:32:17,P2,44.16392517089844,OK,2026-05-08 12:36:00
2026-05-08 12:32:17,P3,46.0959587097168,OK,2026-05-08 12:36:00
2026-05-08 12:32:17,P4,45.28642654418945,OK,2026-05-08 12:36:00
2026-05-08 12:32:17,P5,41.3143310546875,OK,2026-05-08 12:36:00
2026-05-08 12:32:17,P6,44.461570739746094,OK,2026-05-08 12:36:00
2026-05-08 12:42:54,P1,44.58426284790039,OK,2026-05-08 12:47:00
2026-05-08 12:42:54,P2,44.46352767944336,OK,2026-05-08 12:47:00
2026-05-08 12:42:54,P3,46.08105850219727,OK,2026-05-08 12:47:00
2026-05-08 12:42:54,P4,45.13208770751953,OK,2026-05-08 12:47:00
2026-05-08 12:42:54,P5,41.32963943481445,OK,2026-05-08 12:47:00
2026-05-08 12:42:54,P6,44.43965911865234,OK,2026-05-08 12:47:00
2026-05-08 12:53:30,P1,44.77311325073242,OK,2026-05-08 12:57:00
2026-05-08 12:53:30,P2,44.53596115112305,OK,2026-05-08 12:57:00
2026-05-08 12:53:30,P3,46.28373336791992,OK,2026-05-08 12:57:00
2026-05-08 12:53:30,P4,45.27257537841797,OK,2026-05-08 12:57:00
2026-05-08 12:53:30,P5,41.536720275878906,OK,2026-05-08 12:57:00
2026-05-08 12:53:30,P6,44.56751251220703,OK,2026-05-08 12:57:00
2026-05-08 13:04:06,P1,44.70335388183594,OK,2026-05-08 13:08:00
2026-05-08 13:04:06,P2,44.45248031616211,OK,2026-05-08 13:08:00
2026-05-08 13:04:06,P3,46.0516242980957,OK,2026-05-08 13:08:00
2026-05-08 13:04:06,P4,45.086036682128906,OK,2026-05-08 13:08:00
2026-05-08 13:04:06,P5,41.371559143066406,OK,2026-05-08 13:08:00
2026-05-08 13:04:06,P6,44.39243698120117,OK,2026-05-08 13:08:00
2026-05-08 13:14:44,P1,44.65719604492188,OK,2026-05-08 13:19:00
2026-05-08 13:14:44,P2,44.39299011230469,OK,2026-05-08 13:19:00
2026-05-08 13:14:44,P3,45.92916870117188,OK,2026-05-08 13:19:00
2026-05-08 13:14:44,P4,45.00445175170898,OK,2026-05-08 13:19:00
2026-05-08 13:14:44,P5,41.26974487304688,OK,2026-05-08 13:19:00
2026-05-08 13:14:44,P6,44.35753631591797,OK,2026-05-08 13:19:00
